year,month,pkg_name,counts,Month
2019,1,keras,112321.0,2019-01-01
2019,1,matplotlib,815169.0,2019-01-01
2019,1,networkx,278273.0,2019-01-01
2019,1,pandas,932443.0,2019-01-01
2019,1,plotly,62106.0,2019-01-01
2019,1,scikit-learn,682364.0,2019-01-01
2019,1,statsmodels,268467.0,2019-01-01
2019,1,tensorflow,242631.0,2019-01-01
2019,1,xgboost,33372.0,2019-01-01
2019,1,panel,200.0,2019-01-01
2019,1,voila,183.0,2019-01-01
2019,2,bokeh,302344.0,2019-02-01
2019,2,keras,122661.0,2019-02-01
2019,2,matplotlib,835149.0,2019-02-01
2019,2,networkx,282134.0,2019-02-01
2019,2,pandas,1049595.0,2019-02-01
2019,2,plotly,70260.0,2019-02-01
2019,2,scikit-learn,716230.0,2019-02-01
2019,2,statsmodels,290993.0,2019-02-01
2019,2,tensorflow,258001.0,2019-02-01
2019,2,xgboost,27804.0,2019-02-01
2019,2,panel,545.0,2019-02-01
2019,2,voila,220.0,2019-02-01
2019,3,bokeh,340743.0,2019-03-01
2019,3,keras,138576.0,2019-03-01
2019,3,matplotlib,1061567.0,2019-03-01
2019,3,networkx,313471.0,2019-03-01
2019,3,pandas,1268802.0,2019-03-01
2019,3,plotly,87993.0,2019-03-01
2019,3,scikit-learn,855947.0,2019-03-01
2019,3,statsmodels,317735.0,2019-03-01
2019,3,tensorflow,348463.0,2019-03-01
2019,3,xgboost,36583.0,2019-03-01
2019,3,panel,1501.0,2019-03-01
2019,3,voila,292.0,2019-03-01
2019,4,bokeh,326046.0,2019-04-01
2019,4,keras,135008.0,2019-04-01
2019,4,matplotlib,860197.0,2019-04-01
2019,4,networkx,304504.0,2019-04-01
2019,4,pandas,1097222.0,2019-04-01
2019,4,plotly,78040.0,2019-04-01
2019,4,scikit-learn,740021.0,2019-04-01
2019,4,statsmodels,271077.0,2019-04-01
2019,4,tensorflow,336868.0,2019-04-01
2019,4,xgboost,41049.0,2019-04-01
2019,4,panel,13632.0,2019-04-01
2019,4,voila,209.0,2019-04-01
2019,5,bokeh,346019.0,2019-05-01
2019,5,keras,145827.0,2019-05-01
2019,5,matplotlib,1079200.0,2019-05-01
2019,5,networkx,330118.0,2019-05-01
2019,5,pandas,1333994.0,2019-05-01
2019,5,plotly,88480.0,2019-05-01
2019,5,scikit-learn,995061.0,2019-05-01
2019,5,statsmodels,278487.0,2019-05-01
2019,5,tensorflow,325366.0,2019-05-01
2019,5,xgboost,33470.0,2019-05-01
2019,5,panel,2550.0,2019-05-01
2019,5,voila,371.0,2019-05-01
2019,6,bokeh,325507.0,2019-06-01
2019,6,keras,129890.0,2019-06-01
2019,6,matplotlib,950642.0,2019-06-01
2019,6,networkx,306489.0,2019-06-01
2019,6,pandas,1161773.0,2019-06-01
2019,6,plotly,98988.0,2019-06-01
2019,6,scikit-learn,859170.0,2019-06-01
2019,6,statsmodels,259719.0,2019-06-01
2019,6,tensorflow,293587.0,2019-06-01
2019,6,xgboost,33233.0,2019-06-01
